Invoice_ID,Date,Supplier,Category,Country,Department,Invoice_Description,Amount,Payment_Terms,On_Time_Delivery,Defect_Rate_Pct,Lead_Time_Days,Risk_Score,Risk_Level,Contract_Value,Contract_Expiry_Date
46,2024-09-13,SteelCore Inc.,Raw Materials,Brazil,Finance,Plastic components supply,24998,Net 30,Yes,4.0,31,51,Medium,3024987,2026-08-25
47,2023-01-13,InsightBridge LLC,Consulting,Australia,Engineering,Digital transformation advisory,248898,Net 90,No,1.3,4,15,Low,2216852,2026-05-17
48,2024-11-07,ConsultPro Inc.,Consulting,USA,Engineering,Operations improvement project,467057,2/10 Net 30,Yes,0.4,7,16,Low,4800117,2026-12-10
49,2024-04-16,FlightPro Ltd.,Travel,UAE,IT,Airport transfer services,320192,2/10 Net 30,No,6.1,9,44,Medium,1889287,2027-03-27
50,2023-05-30,NetSphere Ltd.,IT,Germany,Sales,Cloud server hosting monthly fee,363108,Net 60,Yes,6.7,17,30,Low,459945,2026-07-26
51,2024-01-29,SpaceWorks Inc.,Facilities,Australia,Procurement,HVAC system repair,136301,Net 60,Yes,7.8,39,11,Low,2685004,2026-12-07
52,2024-05-21,CreativeHub Co.,Marketing,Canada,Sales,Market research report,367227,Net 30,Yes,4.5,43,20,Low,1932629,2027-03-25
53,2024-08-20,OfficePlus Ltd.,Office Supplies,USA,Finance,Printer paper bulk order,132441,Net 60,Yes,3.8,24,7,Low,2862150,2026-11-24
54,2023-06-12,MetalMax Co.,Raw Materials,China,Finance,Aluminum sheets order,452084,2/10 Net 30,No,4.9,38,75,Critical,3471858,2026-08-29
55,2024-09-24,SpaceWorks Inc.,Facilities,Australia,IT,Office cleaning monthly contract,288405,Net 30,Yes,6.5,45,15,Low,4822323,2027-02-28
56,2023-04-06,TripCore Inc.,Travel,India,Marketing,Travel insurance premium,28659,Net 45,No,5.4,31,36,Medium,4300364,2026-07-04
57,2023-08-30,NetSphere Ltd.,IT,Germany,Sales,Data storage solution,84813,Net 60,No,6.2,41,24,Low,4471013,2026-06-30
58,2023-10-16,StratEdge Ltd.,Consulting,UK,Marketing,Digital transformation advisory,290979,2/10 Net 30,Yes,5.5,18,21,Low,176617,2027-01-25
59,2024-07-04,MetalWorks Ltd.,Raw Materials,Russia,Sales,Plastic components supply,208916,Net 30,No,5.6,6,69,High,4124096,2027-03-05
60,2023-12-29,InsightBridge LLC,Consulting,Australia,Sales,Strategy consulting project,95097,Net 60,Yes,6.3,27,25,Low,722814,2026-08-12
61,2024-10-31,RapidRoute LLC,Logistics,Canada,IT,Last mile delivery services,226373,Net 30,Yes,6.8,36,24,Low,4054370,2027-02-22
62,2024-04-18,PharmaCare Ltd.,Healthcare,Switzerland,Finance,Pharmacy supplies order,212169,Net 45,Yes,1.1,23,23,Low,4915513,2026-09-13
63,2023-01-16,CreativeHub Co.,Marketing,Canada,Procurement,PR agency monthly retainer,76715,Net 90,Yes,6.7,21,13,Low,3634555,2026-11-30
64,2023-06-12,TripCore Inc.,Travel,India,Legal,Car rental services,395057,Net 90,Yes,0.6,43,33,Medium,4314052,2026-10-13
65,2024-05-06,EnergyPrime Ltd.,Energy,UAE,Procurement,Solar panel maintenance,223283,Net 60,Yes,4.6,23,54,Medium,3459205,2026-08-21
66,2024-10-24,CompliancePro Ltd.,Legal,UK,IT,Corporate governance advisory,90787,Net 45,Yes,0.5,18,18,Low,1630705,2027-04-23
67,2024-04-19,ByteWave Technologies,IT,USA,Procurement,Cybersecurity audit services,394841,Net 90,Yes,3.0,35,20,Low,1798035,2026-07-22
68,2024-10-28,MetalWorks Ltd.,Raw Materials,Russia,Manufacturing,Chemical compounds order,345570,Net 90,Yes,7.3,27,68,High,3518074,2026-05-06
69,2024-11-12,GlobalTech Systems,IT,China,IT,Network equipment purchase,336519,Net 60,Yes,0.9,14,89,Critical,698661,2026-12-07
70,2023-10-13,GlobalTech Systems,IT,China,Engineering,Network equipment purchase,428041,Net 30,Yes,3.7,45,89,Critical,2990313,2026-07-23
71,2024-09-09,CloudBase Inc.,IT,USA,Marketing,IT infrastructure upgrade,207561,Net 90,No,6.6,17,41,Medium,2601390,2026-09-26
72,2023-05-12,CloudBase Inc.,IT,USA,Marketing,Software license renewal,367825,Net 45,Yes,0.5,32,47,Medium,4288050,2027-03-26
73,2024-03-07,OceanShip Ltd.,Logistics,Singapore,Operations,Fleet maintenance services,421823,Net 60,Yes,1.3,13,52,High,4592259,2026-12-07
74,2023-01-10,TravelEase Inc.,Travel,USA,Procurement,Visa processing fees,274942,Net 45,Yes,2.0,16,22,Low,3006520,2026-12-21
75,2023-08-14,SpaceWorks Inc.,Facilities,Australia,IT,Parking management fees,72462,Net 60,No,7.0,26,15,Low,4166270,2026-11-07
76,2023-11-09,SkyHost Pro,IT,Ireland,Legal,IT infrastructure upgrade,448576,Net 30,Yes,0.8,9,21,Low,2612017,2026-06-05
77,2024-10-22,SkyLog Partners,Logistics,USA,Marketing,Express courier services,80532,Net 90,Yes,7.4,40,19,Low,2193321,2026-12-16
78,2024-03-22,SkyLog Partners,Logistics,USA,IT,Last mile delivery services,318051,Net 45,No,6.3,20,26,Low,2576028,2026-09-15
79,2023-10-03,DataCore Solutions,IT,India,Finance,Network equipment purchase,419444,Net 30,Yes,7.8,18,31,Medium,945662,2026-05-11
80,2024-07-02,IronPeak Mfg.,Raw Materials,Turkey,IT,Chemical compounds order,279234,Net 60,Yes,2.1,36,58,High,3666412,2027-02-17
81,2023-08-22,MediaPulse Inc.,Marketing,Australia,Engineering,Content creation services,15023,Net 60,Yes,7.2,45,19,Low,996162,2027-01-03
82,2024-03-03,GlobalMove Co.,Logistics,Netherlands,Finance,International freight forwarding,253855,Net 30,No,0.4,4,30,Low,2448277,2026-08-08
83,2024-04-01,MediaPulse Inc.,Marketing,Australia,HR,Digital advertising campaign,17861,2/10 Net 30,Yes,2.6,24,18,Low,3190073,2027-03-03
84,2023-12-01,AdMax Agency,Marketing,USA,Engineering,Content creation services,433218,Net 60,Yes,4.3,19,19,Low,3302187,2027-03-12
85,2024-11-17,AdvisoryCore Co.,Consulting,Singapore,Operations,Supply chain consulting,85516,Net 60,No,6.4,19,20,Low,2919744,2026-10-10
86,2024-03-05,BrandCore Ltd.,Marketing,UK,Manufacturing,Market research report,429079,Net 45,Yes,0.5,4,21,Low,707312,2027-01-22
87,2023-08-30,MetalMax Co.,Raw Materials,China,Legal,Plastic components supply,53759,2/10 Net 30,Yes,1.3,14,78,Critical,4462458,2026-09-13
88,2024-06-11,AlloyCraft Ltd.,Raw Materials,South Korea,Legal,Copper wire batch delivery,29202,Net 90,Yes,7.8,34,34,Medium,3150496,2026-11-11
89,2023-01-16,SolarMax Inc.,Energy,USA,Legal,Electricity supply monthly bill,271632,Net 45,Yes,7.8,39,18,Low,809105,2026-11-01
90,2023-03-29,RapidRoute LLC,Logistics,Canada,IT,Fleet maintenance services,86686,2/10 Net 30,No,7.4,29,30,Low,2105683,2026-08-20
91,2024-04-07,SpaceWorks Inc.,Facilities,Australia,HR,Waste disposal services,127201,Net 30,No,2.9,18,17,Low,4495206,2027-05-13
92,2024-10-18,AdvisoryCore Co.,Consulting,Singapore,Operations,Operations improvement project,481433,2/10 Net 30,Yes,5.4,34,26,Low,3689783,2027-02-17
93,2024-08-22,CloudBase Inc.,IT,USA,IT,Cybersecurity audit services,478777,2/10 Net 30,Yes,6.3,39,42,Medium,4765772,2026-05-28
94,2024-02-28,ConsultPro Inc.,Consulting,USA,IT,Strategy consulting project,114017,Net 30,Yes,2.8,32,14,Low,1810862,2026-09-13
95,2023-03-30,FastFreight Co.,Logistics,Mexico,Manufacturing,Cold chain logistics,399940,2/10 Net 30,Yes,0.3,23,71,High,2045402,2026-08-28
96,2024-04-01,GlobalMove Co.,Logistics,Netherlands,IT,Port handling charges,145615,2/10 Net 30,Yes,0.0,36,30,Low,4002122,2027-06-04
97,2024-05-30,SkyLog Partners,Logistics,USA,Sales,International freight forwarding,106084,2/10 Net 30,Yes,1.9,4,21,Low,4412026,2026-05-16
98,2024-01-09,MetalWorks Ltd.,Raw Materials,Russia,Legal,Aluminum sheets order,153582,Net 30,No,4.2,19,62,High,773207,2027-05-21
99,2023-04-08,SwiftCargo Inc.,Logistics,UAE,Finance,International freight forwarding,118881,Net 60,Yes,2.5,44,62,High,3593865,2026-06-07
100,2024-10-16,StayBridge Co.,Travel,France,HR,Airport transfer services,453784,Net 45,Yes,0.2,19,30,Low,2541075,2026-07-04
101,2024-04-22,GreenWatt Co.,Energy,Denmark,Marketing,Wind turbine maintenance,471378,Net 45,Yes,0.7,33,20,Low,840090,2026-10-21
102,2023-02-15,HealthBridge Inc.,Healthcare,Germany,Legal,First aid kit restocking,172638,Net 45,Yes,1.3,8,28,Low,4689156,2026-12-07
103,2024-09-28,LegalEdge LLP,Legal,USA,Operations,Compliance audit fees,105606,Net 90,No,7.7,7,10,Low,3333356,2027-02-07
104,2023-07-03,MetalWorks Ltd.,Raw Materials,Russia,Finance,Aluminum sheets order,321339,2/10 Net 30,Yes,6.4,2,66,High,1955483,2027-03-31
105,2024-12-22,OceanShip Ltd.,Logistics,Singapore,IT,International freight forwarding,162012,Net 90,Yes,5.0,44,54,High,4677932,2026-07-02
106,2023-05-13,EnergyPrime Ltd.,Energy,UAE,HR,Utility management fees,296968,Net 90,No,2.5,11,47,Medium,1151228,2026-09-19
107,2023-12-13,InsightBridge LLC,Consulting,Australia,Sales,Financial consulting services,277436,Net 45,Yes,1.4,25,19,Low,2490603,2027-04-24
108,2024-04-07,AlloyCraft Ltd.,Raw Materials,South Korea,Finance,Iron ore bulk shipment,272614,Net 30,Yes,5.6,18,40,Medium,4438986,2026-11-02
109,2024-11-20,MetalMax Co.,Raw Materials,China,Legal,Chemical compounds order,86995,2/10 Net 30,Yes,4.9,18,77,Critical,1545543,2027-01-15
110,2023-09-26,FastFreight Co.,Logistics,Mexico,Procurement,Express courier services,8323,2/10 Net 30,No,4.8,21,73,High,253450,2026-11-22
111,2024-07-18,OceanShip Ltd.,Logistics,Singapore,Legal,Cold chain logistics,165638,2/10 Net 30,No,5.3,33,54,High,1503134,2026-08-23
112,2024-07-13,TripCore Inc.,Travel,India,Manufacturing,Travel insurance premium,141614,Net 90,Yes,3.7,39,34,Medium,1733745,2026-07-08
113,2023-08-18,DeskPro Inc.,Office Supplies,China,Operations,Filing cabinet order,326726,Net 90,Yes,5.4,35,44,Medium,3852482,2026-06-26
114,2024-11-10,SkyLog Partners,Logistics,USA,Finance,Port handling charges,428318,Net 45,No,6.5,12,27,Low,1071784,2027-05-10
115,2024-10-01,SteelCore Inc.,Raw Materials,Brazil,Engineering,Carbon fiber materials,147021,Net 90,Yes,6.1,5,49,Medium,962168,2026-06-20
116,2024-10-04,SkyHost Pro,IT,Ireland,HR,Cybersecurity audit services,151311,Net 30,Yes,4.4,24,23,Low,2827050,2026-06-07
117,2024-09-08,StayBridge Co.,Travel,France,Operations,Per diem expenses,211615,Net 60,Yes,2.3,2,29,Low,1326944,2026-11-23
118,2023-09-26,IronPeak Mfg.,Raw Materials,Turkey,HR,Plastic components supply,306992,Net 60,Yes,1.5,17,57,High,3096461,2026-11-09
119,2023-12-14,AdMax Agency,Marketing,USA,Marketing,Social media management,270238,Net 90,Yes,3.5,45,25,Low,300117,2026-12-02
120,2024-10-09,SkyHost Pro,IT,Ireland,Procurement,Software license renewal,255880,Net 90,No,0.8,13,20,Low,2926114,2026-06-17
121,2024-08-09,MediSupply Co.,Healthcare,USA,Engineering,Pharmacy supplies order,477015,Net 45,Yes,2.5,24,18,Low,3756935,2027-04-08
122,2023-09-19,TravelEase Inc.,Travel,USA,Engineering,Business class flights booking,162981,2/10 Net 30,Yes,8.0,38,23,Low,2048973,2026-05-10
123,2023-10-01,SolarMax Inc.,Energy,USA,Sales,Gas supply quarterly,156461,Net 30,Yes,2.9,40,18,Low,4606531,2026-08-29
124,2023-01-15,StayBridge Co.,Travel,France,Sales,Hotel accommodation corporate,144504,Net 45,Yes,2.1,32,25,Low,1914020,2026-11-11
125,2023-11-12,PrimeParts Mfg.,Raw Materials,India,Manufacturing,Aluminum sheets order,481824,Net 30,Yes,6.0,44,19,Low,543758,2027-06-02
126,2024-05-20,AdMax Agency,Marketing,USA,Manufacturing,Market research report,146242,Net 60,Yes,3.4,41,20,Low,2180677,2027-04-10
127,2023-10-30,AdMax Agency,Marketing,USA,HR,Digital advertising campaign,22424,Net 30,Yes,7.1,34,22,Low,678692,2027-02-05
128,2023-08-25,SkyHost Pro,IT,Ireland,Finance,Data storage solution,243653,2/10 Net 30,Yes,2.6,36,15,Low,3649989,2027-03-17
129,2024-03-21,FastFreight Co.,Logistics,Mexico,Marketing,International freight forwarding,430849,Net 30,No,5.6,26,69,High,3846841,2027-01-25
130,2023-02-17,TripCore Inc.,Travel,India,Finance,Per diem expenses,272377,Net 45,Yes,0.2,12,33,Medium,699879,2026-06-07
131,2023-05-10,EnergyPrime Ltd.,Energy,UAE,Finance,Energy audit services,286465,Net 30,Yes,6.3,21,55,Medium,1437545,2027-03-22
132,2023-09-14,JurisCore Co.,Legal,Germany,Marketing,Corporate governance advisory,24230,Net 30,Yes,2.8,12,22,Low,1722261,2027-01-23
133,2024-05-15,PharmaCare Ltd.,Healthcare,Switzerland,IT,Medical equipment lease,110287,Net 30,Yes,2.9,12,29,Low,1825980,2027-04-25
134,2024-12-23,MedCore Solutions,Healthcare,India,Legal,PPE equipment bulk purchase,203066,Net 45,No,6.8,1,41,Medium,1954428,2027-01-06
135,2023-05-09,ConsultPro Inc.,Consulting,USA,Operations,Financial consulting services,358306,Net 90,Yes,5.9,7,14,Low,1835572,2026-12-23
136,2024-12-30,PharmaCare Ltd.,Healthcare,Switzerland,IT,Medical equipment lease,182034,Net 60,Yes,6.1,44,26,Low,752063,2027-03-02
137,2024-10-13,SolarMax Inc.,Energy,USA,Legal,Electricity supply monthly bill,388513,Net 45,Yes,0.7,33,18,Low,2479915,2026-06-15
138,2024-04-14,AdMax Agency,Marketing,USA,Sales,Event management services,324886,Net 90,No,2.5,10,22,Low,1633127,2026-10-26
139,2024-07-09,AdMax Agency,Marketing,USA,Legal,PR agency monthly retainer,91253,2/10 Net 30,Yes,7.9,32,25,Low,3386137,2027-05-29
140,2023-10-23,HealthBridge Inc.,Healthcare,Germany,Operations,Lab testing services,344057,2/10 Net 30,Yes,5.6,45,33,Low,439908,2026-06-09
141,2024-12-09,FlightPro Ltd.,Travel,UAE,Finance,Visa processing fees,433652,Net 45,Yes,0.3,39,46,Medium,136305,2027-04-10
142,2024-08-26,HealthBridge Inc.,Healthcare,Germany,Procurement,First aid kit restocking,255441,Net 30,Yes,3.4,33,33,Low,2886069,2026-07-13
143,2024-02-11,OfficePlus Ltd.,Office Supplies,USA,Operations,Printer paper bulk order,301615,Net 30,Yes,0.3,8,14,Low,2594611,2027-05-11
144,2023-09-24,MediSupply Co.,Healthcare,USA,Manufacturing,Employee health screening,486824,Net 60,Yes,0.2,30,24,Low,1502544,2026-08-31
145,2023-11-04,CompliancePro Ltd.,Legal,UK,IT,Legal consultation monthly,422379,Net 60,No,3.7,23,13,Low,958175,2027-05-16
146,2023-09-11,PrimeParts Mfg.,Raw Materials,India,Manufacturing,Chemical compounds order,10186,Net 30,Yes,5.6,34,18,Low,4380219,2026-12-30
147,2024-09-04,OfficePlus Ltd.,Office Supplies,USA,Sales,Stationery monthly supply,300447,2/10 Net 30,Yes,2.0,28,14,Low,2008145,2027-01-03
148,2024-10-17,LegalEdge LLP,Legal,USA,Operations,Patent filing fees,76759,Net 60,Yes,1.5,28,11,Low,1891095,2026-05-29
149,2024-08-18,BrandCore Ltd.,Marketing,UK,IT,PR agency monthly retainer,414599,Net 60,Yes,4.7,39,19,Low,3897655,2027-05-15
150,2024-03-09,SpaceWorks Inc.,Facilities,Australia,Finance,Office cleaning monthly contract,429090,Net 30,Yes,0.9,32,15,Low,546254,2026-06-27
151,2024-03-29,GreenWatt Co.,Energy,Denmark,Operations,Energy audit services,369854,Net 90,Yes,0.6,40,23,Low,3874626,2026-06-10
152,2023-04-10,MetalMax Co.,Raw Materials,China,Marketing,Carbon fiber materials,82323,Net 45,Yes,6.1,39,76,Critical,1370357,2026-05-17
153,2024-09-21,OceanShip Ltd.,Logistics,Singapore,HR,Last mile delivery services,438672,Net 60,No,1.7,18,54,High,2516185,2026-09-08
154,2024-01-11,PharmaCare Ltd.,Healthcare,Switzerland,Finance,Pharmacy supplies order,221579,Net 30,Yes,7.1,25,32,Low,3088009,2026-12-13
155,2024-04-12,DataCore Solutions,IT,India,Engineering,Cybersecurity audit services,407256,Net 60,Yes,1.3,32,32,Medium,1825044,2026-09-17
156,2024-11-19,GlobalMove Co.,Logistics,Netherlands,Marketing,Port handling charges,92410,Net 45,Yes,1.2,22,32,Low,2024681,2026-08-03
157,2023-09-05,GlobalMove Co.,Logistics,Netherlands,HR,Last mile delivery services,275486,Net 90,Yes,2.6,29,34,Low,2323082,2026-08-23
158,2024-04-24,MetalMax Co.,Raw Materials,China,IT,Copper wire batch delivery,184012,Net 45,Yes,0.9,30,79,Critical,4227345,2027-03-13
159,2024-10-09,AlloyCraft Ltd.,Raw Materials,South Korea,Legal,Chemical compounds order,25347,2/10 Net 30,Yes,6.5,36,41,Medium,2933605,2026-06-20
160,2024-10-11,SkyHost Pro,IT,Ireland,IT,Network equipment purchase,189134,Net 45,Yes,6.9,20,16,Low,1816449,2027-05-11
161,2023-03-30,AlloyCraft Ltd.,Raw Materials,South Korea,IT,Copper wire batch delivery,142258,2/10 Net 30,No,1.2,17,43,Medium,4868698,2026-11-29
162,2024-07-25,CompliancePro Ltd.,Legal,UK,Marketing,Legal consultation monthly,479526,2/10 Net 30,Yes,6.1,3,16,Low,3409637,2027-02-25
163,2024-04-30,ConsultPro Inc.,Consulting,USA,Marketing,Digital transformation advisory,199562,Net 60,Yes,1.1,40,14,Low,4100825,2026-11-26
164,2023-11-28,BuildRight Co.,Facilities,UK,Legal,Elevator maintenance,484338,Net 90,Yes,2.7,30,16,Low,2661196,2027-04-08
165,2023-08-29,PrintCore Ltd.,Office Supplies,Germany,Engineering,Desk equipment purchase,353670,Net 30,Yes,3.9,25,20,Low,998434,2026-10-28
166,2023-07-26,PrimeParts Mfg.,Raw Materials,India,HR,Chemical compounds order,83904,Net 90,Yes,4.9,12,18,Low,4606894,2026-08-07
167,2023-07-16,SupplyBase Co.,Office Supplies,India,IT,Stationery monthly supply,294014,Net 30,Yes,3.7,22,34,Low,3820703,2027-03-17
168,2023-12-17,ByteWave Technologies,IT,USA,Marketing,SaaS platform subscription,62925,Net 30,Yes,1.9,23,17,Low,2294904,2026-05-27
169,2023-03-31,PharmaCare Ltd.,Healthcare,Switzerland,Marketing,Occupational health services,486489,Net 30,Yes,7.7,30,32,Low,1263511,2026-10-30
170,2024-08-31,IronPeak Mfg.,Raw Materials,Turkey,Finance,Chemical compounds order,435442,2/10 Net 30,Yes,5.7,36,67,High,1681385,2027-03-22
171,2023-10-31,GlobalTech Systems,IT,China,Finance,SaaS platform subscription,78757,Net 90,Yes,3.4,37,92,Critical,3265723,2027-04-24
172,2023-11-28,OfficePlus Ltd.,Office Supplies,USA,Manufacturing,Coffee machine supplies,352103,2/10 Net 30,Yes,3.6,5,11,Low,1177470,2026-08-06
173,2024-01-07,MediSupply Co.,Healthcare,USA,Manufacturing,Pharmacy supplies order,482283,Net 30,No,7.9,18,21,Low,4628445,2026-12-11
174,2024-11-25,JurisCore Co.,Legal,Germany,Finance,Legal consultation monthly,486015,Net 45,Yes,5.6,9,21,Low,4216043,2026-09-16
175,2024-01-07,GlobalMove Co.,Logistics,Netherlands,Manufacturing,International freight forwarding,53654,2/10 Net 30,Yes,4.7,12,27,Low,3405165,2026-11-17
176,2024-11-27,SolarMax Inc.,Energy,USA,Legal,Gas supply quarterly,230053,Net 45,Yes,0.6,32,17,Low,2496510,2026-12-27
177,2024-05-16,DeskPro Inc.,Office Supplies,China,Manufacturing,Printer paper bulk order,425381,2/10 Net 30,No,7.0,4,41,Medium,1933085,2027-03-08
178,2024-06-05,FacilityPro Ltd.,Facilities,Canada,Legal,Elevator maintenance,397208,Net 90,Yes,0.3,37,19,Low,3750233,2026-07-01
179,2024-01-11,SteelCore Inc.,Raw Materials,Brazil,Sales,Copper wire batch delivery,395517,Net 60,Yes,1.5,3,46,Medium,509139,2026-06-25
180,2023-02-06,AdMax Agency,Marketing,USA,Finance,SEO optimization services,260149,Net 30,Yes,5.1,13,23,Low,2049124,2027-03-04
181,2023-04-22,FlightPro Ltd.,Travel,UAE,Legal,Car rental services,391906,2/10 Net 30,No,3.4,14,42,Medium,1746714,2026-10-15
